"HMCD","TKCD","BUCD","SKHIASU","COLOR","SU"
"119171-59830-3","C2001","ﾌﾝｼｬｶﾝ",,,
"119171-59840","C2105",,,,
"119171-59840-1","C2105",,,,
"119171-59840-3","C2105","ﾌﾝｼｬｶﾝ",,,
"119171-59900","C2101",,,,
"119171-59900-3","C2105","塚-1",,,
"119175-39660","C2001",,"ｼﾛ 5","ｼﾛ","5"
"119175-39660-3","C2105","塚-1","ｼﾛ 5","ｼﾛ","5"
"119175-39660-YA","C2101",,,,
"119175-39670","C2105",,,,
"119175-39670-1","C2105",,,,
"119175-39670-3","C2105","塚-1","ﾐﾄﾞ5","ﾐﾄﾞ","5"
"119175-39670-4","C2105","OO32",,,
"119175-39680","C2001","OO21",,,
"119175-39680-10","C2001",,,,
"119175-39690","C2001","OO12",,,
"119415-35080","C2101",,,,
"119415-35080-1","C2101","FB-23",,,
"119415-35080-3","C2101","FB-24",,,
"119415-35110","C2101","FC-32",,,
"119416-35040","C2101",,,,
"119416-35050","C2101","FA-14",,,
"119416-35080","C2101","FE-43","ｶﾞｾｯﾄ袋",,
"119416-35080-1","C2101","FA-13",,,
"119416-35410","C2101",,,,
"119417-59100","C2101","3-19-2","ｼﾛ50","ｼﾛ","50"
"119417-59100-1","C2101","D9-33",,,
"119417-59140","C2101","O4-24",,,
"119446-35080","C2101",,,,
"119446-35080-1","C2101","FA-33",,,
"119446-35080-3","C2101","FA-34",,,
"119515-35040","C2101","FC-31",,,
"119515-35080","C2101",,"ｶﾞｾｯﾄ袋",,
"119515-35080-1","C2101","FA-31",,,
"119515-35080-3","C2101","FA-32",,,
"119515-35080-YQ","C2101",,,,
"119515-59580","C2001",,"ｼﾛ 20","ｼﾛ","20"
"119515-59580-1","C2001",,,,
"119515-59580-2","C2001",,,,
"119515-59581","C2101","3-12-9","<検>ｼﾛ50","ｼﾛ","50"
"119515-59581-1","C2001",,,,
"119515-59581-2","C2001","E6-32",,,
"119515-59581-2R","C2101",,,,
"119515-59581-YQ","C2101",,,,
"119515-59582-1","C2001",,,,
"119515-59582-1R","C2101","E6-33",,,
"119515-59981-1","C2001",,,,
"119516-35100","C2101",,,,
"119516-35100-1","C2101","FE-21",,,
"119516-35100-3","C2101","FE-22",,,
"119516-35100-4","C2101","FE-23",,,
"119516-59120","C2101","4-18-7","検>ｺﾞﾑ30",,"30"
"119516-59120-4","C2001","E6-23",,,
"119534-35090","C2101",,,,
"119534-35090-1","C2101","FA-41",,,
"119534-35090-3","C2101","FA-42",,,
"119534-35110-1","C2101",,,,
"119534-59570","C2101","3-12-9","<検>ﾑﾗ50","ﾑﾗ","50"
"119534-59570-1","C2001",,,,
"119534-59570-1R","C2101","A8-32",,,
"119534-59570-2","C2001",,,,
"119534-59570-2R","C2101","A8-31",,,
"119534-59570-3","C2001","A8-41",,,
"119546-35080","C2101",,,,
"119546-35080-1","C2101","FB-11",,,
"119546-35080-3","C2101","FB-12",,,
"119578-39530-1","C2105","A3-42",,,
"119578-39530-3","C2105","塚-1","ｷ 10","ｷ","10"
"119578-39530-YA","C2101",,"ｷ 10","ｷ","10"
"119581-03140-1","C2105","N7-24",,,
"119581-03140-2","C2105","A3-41",,,
"119581-03140-3","C2105","塚-1","ｼﾛ10","ｼﾛ","10"
"119581-36421-4","C2105",,,,
"119581-39421-1","C2105",,,,
"119581-39421-2","C2105",,,,
"119581-39421-3","C2105","塚-1","ｱｵ5","ｱｵ","5"
"119581-39421-4","C2105",,,,
"119581-59250-1","C2105",,,,
"119581-59250-3","C2105",,"ﾑﾗ10","ﾑﾗ","10"
"119581-59261-1","C2105","け-1",,,
"119581-59261-3","C2105","塚-1","ｼﾛ10","ｼﾛ","10"
"119581-59650-1","C2105","C3-23",,,
"119581-59650-2","C2105","L7-24",,,
"119581-59650-3","C2105",,"ｼﾛ10","ｼﾛ","10"
"119581-59650-4","C2105","I1-21",,,
"119581-59670-1","C2105",,,,
"119581-59670-3","C2105",,"ｱｵ10","ｱｵ","10"
"119717-35040","C2101","FC-11",,,
"119717-35070","C2101",,"ｶﾞｾｯﾄ袋",,
"119717-35070-1","C2101","FE-31",,,
"119717-35070-3","C2101","FE-32",,,
"119717-35070-4","C2101","FE-33",,,
"119717-35080","C2101",,"ｶﾞｾｯﾄ袋",,
"119717-35080-1","C2101","FA-11",,,
"119717-35080-3","C2101","FA-12",,,
